created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 06 23:01:16 +0000 2023;1732535709247168536;"@zy_zy_its_me Pak anies pasti ketawa melihat ini";0;0;0;0;in;1723731921778495489;1732050799243702434;5Prilly;https://twitter.com/5Prilly/status/1732535709247168536
Wed Dec 06 23:01:11 +0000 2023;1732535687214420433;"@tvOneNews Anies tampak memahami masalah yang dihadapi para petani dengan mengusung konsep AMIN.";0;0;0;0;in;791447994033778688;1732267572127781091;bersuorai;https://twitter.com/bersuorai/status/1732535687214420433
Wed Dec 06 23:01:04 +0000 2023;1732535657036431539;"@tvOneNews Jangan kasih kendor yok pendukung pak Anies";0;0;0;0;in;1726232318023782400;1732237732758618306;AmertaP62203;https://twitter.com/AmertaP62203/status/1732535657036431539
Wed Dec 06 23:01:03 +0000 2023;1732535653815197711;"udh lihat videonya belom? maksud anies disini, dia ingin membagi dana (dana pembagunan IKN) itu tidak hanya buat IKN aja, tapi buat kebutuhan hal2 urgent lainnya. karena Anies tau IKN itu sudah ditetapkan dalam UU, jadi tinggal bagaimana menuntaskannya sesuai kebutuhan ekonomi.";0;1;0;3;in;1244058407922847744;1732535653815197711;panggiljoaja;https://twitter.com/panggiljoaja/status/1732535653815197711
Wed Dec 06 23:00:56 +0000 2023;1732535623725236577;"@zy_zy_its_me Harus lebih yakin sama pak anies yang pasti bisa bikin kemajuan";0;0;0;0;in;1723701323101843456;1732050799243702434;nitasero;https://twitter.com/nitasero/status/1732535623725236577
Wed Dec 06 23:00:46 +0000 2023;1732535583468359881;"@abu_waras Cerdasnya pak anies, untuk perubahan pak anies berani untuk speak up mengenai ikn👍🏻";0;0;0;0;in;1714767079906451456;1732284335703949444;mahailo_;https://twitter.com/mahailo_/status/1732535583468359881
Wed Dec 06 23:00:40 +0000 2023;1732535558742933676;"@KompasTV Pa Anies selalu mengedepankan rakyat ini apa?";0;0;0;0;in;1703695212818948096;1732279853536411828;maulidyagemes;https://twitter.com/maulidyagemes/status/1732535558742933676
Wed Dec 06 23:00:37 +0000 2023;1732535546478821755;"@Chaves1305 Bismillah, Pilih ANIES. Kami enggak bisa kamu tipu dgn pencitraan pencitraan";0;0;0;0;in;1668116255222681600;1732307996766822456;Simbah0909;https://twitter.com/Simbah0909/status/1732535546478821755
Wed Dec 06 23:00:36 +0000 2023;1732535539994124751;"@Yurissa_Samosir @AdamVelcro @AdeDhani9 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @mustafaagus007 @choymarkochoy @Harywaraz #AniesMuhaimin2024   Sebagian Prestasi Pak Anies Baswedan di Jakarta yang Mendunia 🥰⭐ . https://t.co/JMFju95Cbp";0;0;0;0;in;1675559847503314944;1732398502024728922;stacitarpeta18;https://twitter.com/stacitarpeta18/status/1732535539994124751
Wed Dec 06 23:00:33 +0000 2023;1732535527918989568;"@aniesmania @tempodotco Yaelah anies di jakarta aja jalur busway nambah brp min?? LRT nambah gak?? Cuma jaklingko doang yg jalan. Gini amat nyari makan..";0;0;0;1;in;80517106;1732320501379559611;sokancut;https://twitter.com/sokancut/status/1732535527918989568
