created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 06 23:30:52 +0000 2023;1732543156854595825;"@tvOneNews Ini tamparan keras bagi @aniesbaswedan @prabowo @ganjarpranowo.";0;1;1;0;in;336392565;1732539311273410867;rawayan86;https://twitter.com/rawayan86/status/1732543156854595825
Wed Dec 06 23:30:46 +0000 2023;1732543134125695408;"@bumnbersatu @prabowo Berarti bkn bakatnya jdi pejabat alias presiden dunk";0;0;0;0;in;1718499652981637120;1732300212675436812;ZeinMustho;https://twitter.com/ZeinMustho/status/1732543134125695408
Wed Dec 06 23:30:41 +0000 2023;1732543109995831714;"Untuk menjatuhkam Prabowo lah, jangankan anggaran kemenhan, food estae aja di goreng";0;1;0;2;in;1709123175450288128;1732543109995831714;mas_veel;https://twitter.com/mas_veel/status/1732543109995831714
Wed Dec 06 23:30:34 +0000 2023;1732543083357810808;"Pada dasarnya masyarakat menginginkan pemilu yang damai tanpa ada saling menghakimi. Sejalan dengan komitmen Prabowo Gibran   #GibranMendengar #Gibran2024 Gibran Terus Maju | NPWP blackpink https://t.co/jLHGrkkEi0";0;0;0;0;in;1679680818363658240;1732543083357810808;Jamalsyid;https://twitter.com/Jamalsyid/status/1732543083357810808
Wed Dec 06 23:30:22 +0000 2023;1732543030174076942;"@PandamPamungkas @PartaiSocmed @prabowo Berkuasa itu kata yang egois banget loh, itu menunjukkan ia ingin dipandang lebih tinggi daripada sebelumnya dan semuanya harus tunduk terhadap sikap maupun bicara yang disampaikan.";0;0;0;0;in;1388945543598985218;1732255276668186924;AbdiPandega;https://twitter.com/AbdiPandega/status/1732543030174076942
Wed Dec 06 23:30:15 +0000 2023;1732543000457396522;"@haidar_arash68 @Rasheed_inn @are_inismyname @bengkeldodo @prabowo @azissubekti @BANGSAygSUJUD @Ndons_Back @Zero8ok @Royan_02 @DarekaRendy @florieliciouss @Kimberley_2024 Capres remedial kelebihan nya";0;0;0;2;in;1135182840511885313;1732221880869040329;Ryu53944310;https://twitter.com/Ryu53944310/status/1732543000457396522
Wed Dec 06 23:29:40 +0000 2023;1732542857125515687;"@Kimberley_2024 @genx36545403 @prabowo Iya udh banyak berbuat teemasuk menculik kan? https://t.co/0230CD5dcW";0;0;0;0;in;1708348247536979968;1732295879795904863;Chameleon_x2;https://twitter.com/Chameleon_x2/status/1732542857125515687
Wed Dec 06 23:29:25 +0000 2023;1732542791480472019;"@99propaganda @prabowo Kalau pas kampanye itu namanya apa ya wkwkkwkwk org cerdas juga tau kenapa gak dulu2 aja ngasih nya wkwkwkkwkwkwkkw";0;0;0;0;in;1524615212875546625;1732217084648812813;allkacruuut;https://twitter.com/allkacruuut/status/1732542791480472019
Wed Dec 06 23:29:18 +0000 2023;1732542764318150858;"@BangPino__ Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”      Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia      Anies lebih lebih lebih KEBODOHAN.......";0;0;0;1;in;1730932621977509888;1732376161714569369;AcepParjo;https://twitter.com/AcepParjo/status/1732542764318150858
Wed Dec 06 23:29:15 +0000 2023;1732542749268951080;"@democrazymedia Strategi NEO komunis gaya  baru jokowi &amp  Prabowo  Nepotisme PSI &amp  projo  Kenapa kita diam ??";0;1;0;0;in;1647761274661670912;1732298829779865764;manukahoneyland;https://twitter.com/manukahoneyland/status/1732542749268951080
