created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 06 23:34:03 +0000 2023;1732543956825850100;"@Melihat_Indo Penghormatan luar biasa! Ganjar diterima sebagai Warga Kehormatan oleh Suku Adat Dayak, mengukuhkan ikatan erat antara pemimpin dan masyarakat Kalimantan Timur dalam perjalanan pembangunan bersama";0;0;0;0;in;1612600347104808961;1732316153006133376;lordarnld;https://twitter.com/lordarnld/status/1732543956825850100
Wed Dec 06 23:33:54 +0000 2023;1732543921081999574;"@ganjarpranowo dari Kupang, lombok , Kendari ga ada rasa lelah pak ganjar kalau udah turun langsung ke rakyat";0;0;0;0;in;1689641955091951619;1732312270624207357;KanayaZii;https://twitter.com/KanayaZii/status/1732543921081999574
Wed Dec 06 23:33:49 +0000 2023;1732543899040965021;"@kumparan menjelang pemilu banyak hoaxs bertebaran, semangat terus pak ganjar kami selalu mendukungmu 👍🏻";0;0;0;0;in;1628216459733372930;1732325318793544125;imdllapspta;https://twitter.com/imdllapspta/status/1732543899040965021
Wed Dec 06 23:33:38 +0000 2023;1732543854308725070;"@KompasTV Pak Ganjar siap menerima kritikan kok, gapapa. Pak Ganjar menanggapi dengan santai";0;0;0;0;in;1704060429889376256;1732287161649745934;hi_dwiink;https://twitter.com/hi_dwiink/status/1732543854308725070
Wed Dec 06 23:33:30 +0000 2023;1732543819684700576;"@FeniksFireBird Karena Ganjar Pakai Hati, pasti Menang";0;0;0;0;in;1362296105552121863;1732413108533284888;Joker_Li55ong;https://twitter.com/Joker_Li55ong/status/1732543819684700576
Wed Dec 06 23:33:29 +0000 2023;1732543815473676398;"@AntonKu73047372 @RizkiR4madani Gue pilih ganjar-  Mahfud  tapi anak gue pilih Prabowo- Gibran Seandainya ada Mahfud - Gibran pasti kami satu pilihan ☺☺☺";0;0;0;0;in;1213085911782584321;1732535254131560502;macan1962;https://twitter.com/macan1962/status/1732543815473676398
Wed Dec 06 23:33:16 +0000 2023;1732543761031503931;"@SETYAKI22965702 Bagi Pak 🤟 #GanjarMahfud2024";0;0;0;0;in;1637841258231271424;1732405151741431936;Ganjar_Mahfud03;https://twitter.com/Ganjar_Mahfud03/status/1732543761031503931
Wed Dec 06 23:33:15 +0000 2023;1732543759370596409;"@Melihat_Indo Mantap nih pak ganjar semoga banyak lagi dukungan dukangan untuk pak ganjar dan pak mahfud";0;0;0;0;in;1705799327082500096;1732316153006133376;nurafid43172770;https://twitter.com/nurafid43172770/status/1732543759370596409
Wed Dec 06 23:33:10 +0000 2023;1732543737287581726;"@ganjarpranowo mereka curhat banget yaa. tapi pak ganjar selalu senantiasa mendengarkan";0;0;0;0;in;1243922173;1732266230952902704;AAysweet;https://twitter.com/AAysweet/status/1732543737287581726
Wed Dec 06 23:33:10 +0000 2023;1732543734523511036;"@Melihat_Indo Mandau yang diberikan ke Pak Ganjar, menjadi simbol dari harapan warga agar Pak Ganjae diberikan kekuatan dan keberanian untuk  menjalankan tugas dengan amanah.";0;0;0;0;in;1708041625233145856;1732316153006133376;epxample;https://twitter.com/epxample/status/1732543734523511036
Wed Dec 06 23:33:03 +0000 2023;1732543705536684337;"@DjohanLianto Lulusan SMK kali bener 🤣";0;0;0;0;in;1637841258231271424;1732428871998538223;Ganjar_Mahfud03;https://twitter.com/Ganjar_Mahfud03/status/1732543705536684337
